Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%),65 years and over,Under 18 (%),Under 5 (%),65 years and over (%),School Enrollment (%)
233600,27450,2207,1448.639544041629,6.7,781,195,51.064793837788855,540,1.7999999999999972,30.0,38.0,514,266,65.8974359,34.1025641,202,0.3538740371545084,0.0883552333484368,0.0915269596737653,0.24467603081105574
233701,39492,5414,1877.2537099997944,5.9,1623,272,25.08311784263022,1344,11.200000000000006,28.5,36.7,913,510,64.16022487702038,35.839775122979624,484,0.2997783524196527,0.05024011821204285,0.0893978574067233,0.24824528998891762
233702,49013,3036,3152.830750864308,9.8,1132,322,17.193675889328063,881,3.2999999999999945,27.2,26.0,414,337,55.12649800266311,44.87350199733689,230,0.37285902503293805,0.10606060606060606,0.07575757575757576,0.2901844532279315
233703,58243,2510,848.5630523,3.9,727,169,14.46215139442231,574,12.600000000000003,40.1,16.8,480,194,71.21661721,28.783382789317507,177,0.2896414342629482,0.06733067729083665,0.07051792828685259,0.22868525896414343
240100,30945,3959,2857.4267211906895,10.0,1370,311,40.99520080828492,1012,19.1,26.7,27.2,78,1405,5.259608900876602,94.7403911,105,0.3460469815610003,0.07855519070472342,0.026521848951755495,0.2556201060873958
240400,46136,8300,1023.0777253547532,2.4,3035,598,34.27710843373494,2301,18.8,23.5,28.4,1687,691,70.94196804037006,29.058031959629943,836,0.36566265060240966,0.07204819277108433,0.10072289156626506,0.2772289156626506
240501,31743,6668,5257.791711805442,4.7,2304,716,44.64607078584283,1496,5.5,24.4,26.5,334,2008,14.26131511528608,85.73868488471392,196,0.34553089382123575,0.10737852429514097,0.029394121175764846,0.22435512897420515
240502,24930,5979,24119.78497592915,3.0,2464,1206,37.798963037297206,1359,2.4000000000000057,37.2,32.2,94,2002,4.484732824427481,95.51526717557252,218,0.4121090483358421,0.2017059708981435,0.03646094664659642,0.22729553437029604
240600,26169,2790,2955.4113091680174,6.1,1032,284,37.992831541218635,732,0.5,27.7,53.0,6,1021,0.5842259006815969,99.4157741,67,0.36989247311827955,0.1017921146953405,0.024014336917562724,0.2623655913978495
240701,49885,14085,4921.808421189888,3.4,3854,772,46.95775647852325,3405,10.6,31.3,14.8,2831,2011,58.46757538207352,41.53242461792648,378,0.2736244231451899,0.05481008164714235,0.0268370607028754,0.2417465388711395
240702,60166,14051,3537.1637580495576,8.5,5145,1530,50.37363888691196,3703,13.900000000000006,27.3,12.1,2729,1285,67.98704534130543,32.01295465869457,728,0.3661661091737243,0.10888904704291509,0.05181125898512561,0.2635399615685716
240801,35431,5448,4794.408085427081,1.8,1226,411,51.28487518,753,20.700000000000003,33.2,16.3,496,2154,18.71698113207547,81.28301886792453,487,0.2250367107195301,0.07544052863436124,0.0893906020558003,0.138215859030837
240802,55103,6859,1445.4651977757303,5.5,2246,731,55.08091559,1664,16.799999999999997,30.2,13.2,1090,1206,47.47386759581882,52.52613240418118,484,0.3274529814841814,0.10657530252223356,0.07056422218982358,0.2426009622393935
240901,75213,11399,5067.836819266237,3.7,3794,1004,45.407491885253094,2568,18.0,28.8,5.3,2415,971,71.32309509746013,28.676904902539867,636,0.3328362137029564,0.08807790157031319,0.05579436792701114,0.22528291955434687
240902,67007,16658,3527.029037672664,3.2,5116,1536,46.69828310721576,3445,22.1,21.4,8.7,4169,951,81.42578125,18.57421875,1280,0.3071197022451675,0.09220794813302917,0.07683995677752431,0.2068075399207588
241000,52891,9370,1379.714440251979,6.4,2453,604,38.14300960512273,1965,45.400000000000006,38.1,10.6,2153,876,71.07956421261143,28.920435787388577,1022,0.26179295624332977,0.06446104589114195,0.10907150480256136,0.2097118463180363
241101,71533,5019,6351.896043,5.0,1316,243,33.213787607093046,1118,43.900000000000006,32.7,10.7,1340,271,83.17815021725636,16.821849782743637,318,0.26220362622036264,0.0484160191273162,0.06335923490735207,0.22275353656106794
241102,72135,12773,5017.9072996708255,4.7,3374,871,45.68229859860644,2524,33.9,31.7,7.1,2670,1581,62.80875088214538,37.191249117854625,797,0.2641509433962264,0.06819071478900807,0.062397244186956864,0.19760432161590855
241103,48410,4328,3978.879881272578,6.0,1194,351,31.862292051756008,870,37.7,27.8,13.7,778,809,49.023314429741646,50.976685570258354,204,0.27587800369685767,0.08109981515711645,0.04713493530499076,0.2010166358595194
241200,55727,8151,4203.753607254199,8.4,2195,518,41.82308919151024,1553,34.900000000000006,26.1,9.9,1834,932,66.30513377,33.69486623282719,573,0.2692921113973746,0.06355048460311619,0.07029812292970188,0.1905287694761379
241300,96747,12064,1813.162100276457,3.7,3007,914,38.00563660477454,2183,56.7,18.0,6.7,3314,744,81.66584524396254,18.334154756037456,1313,0.24925397877984085,0.07576259946949603,0.10883620689655173,0.18095159151193635
241400,80605,9796,2291.554442207141,2.9,2413,666,22.754185381788485,1843,60.3,26.8,14.1,2191,1095,66.67681071211199,33.32318928788801,1176,0.24632503062474478,0.06798693344222131,0.12004899959167006,0.18813801551653736
